SMD,Candidate Name,Website,Social,Incumbent
8E01,Vickie R. Lipscomb,,,
8E01,Deborah J. Wells,,,
8E03,Kelly Mikel Williams,,,
8E04,Veronica Adams,,,
8E08,Saudia Jenkins,,,
8E09,Lacy Martae Williams,,,
6/8F01,Dolores Miracle Bryant,,,
6/8F02,Antonio Rossi,,,
6/8F03,Brian Strege,,,
6/8F05,Kim Alston,,,
6D01,Garritt Garcia,,,
7B01,Kiara Rutherford,,,
